Year,Week,Month,NOK/kg,EUR/kg
2006,1,January,24.71,3.11
2006,2,January,25.05,3.13
2006,3,January,26.89,3.32
2006,4,January,28.84,3.58
2006,5,February,26.52,3.29
2006,6,February,26.16,3.25
2006,7,February,26.07,3.22
2006,8,February,26.96,3.35
2006,9,March,28.48,3.55
2006,10,March,30.10,3.77
2006,11,March,30.89,3.87
2006,12,March,31.86,4.00
2006,13,March,34.85,4.38
2006,14,April,36.65,4.65
2006,15,April,35.85,4.56
2006,16,April,35.51,4.54
2006,17,April,36.43,4.66
2006,18,May,37.98,4.89
2006,19,May,36.98,4.75
2006,20,May,37.72,4.82
2006,21,May,41.14,5.26
2006,22,June,42.13,5.40
2006,23,June,41.94,5.38
2006,24,June,42.75,5.46
2006,25,June,44.65,5.64
2006,26,June,44.77,5.65
2006,27,July,38.80,4.87
2006,28,July,38.58,4.85
2006,29,July,39.63,5.00
2006,30,July,37.96,4.79
2006,31,August,37.65,4.78
2006,32,August,37.50,4.73
2006,33,August,37.04,4.61
2006,34,August,36.09,4.48
2006,35,September,32.44,4.02
2006,36,September,30.44,3.73
2006,37,September,30.36,3.65
2006,38,September,29.81,3.60
2006,39,September,27.87,3.36
2006,40,October,26.42,3.15
2006,41,October,27.21,3.23
2006,42,October,28.29,3.34
2006,43,October,27.35,3.28
2006,44,November,25.79,3.11
2006,45,November,25.13,3.05
2006,46,November,25.24,3.07
2006,47,November,27.35,3.31
2006,48,December,27.84,3.38
2006,49,December,26.69,3.28
2006,50,December,26.09,3.21
2006,51,December,26.12,3.20
2006,52,December,27.12,3.30
2007,1,January,27.81,3.37
2007,2,January,27.93,3.37
2007,3,January,28.86,3.46
2007,4,January,27.55,3.33
2007,5,February,26.01,3.19
2007,6,February,25.90,3.19
2007,7,February,28.37,3.51
2007,8,February,31.11,3.86
2007,9,March,28.07,3.47
2007,10,March,27.89,3.42
2007,11,March,29.29,3.61
2007,12,March,29.12,3.57
2007,13,March,28.27,3.48
2007,14,April,28.75,3.52
2007,15,April,29.84,3.68
2007,16,April,28.73,3.55
2007,17,April,26.76,3.29
2007,18,May,26.79,3.30
2007,19,May,26.48,3.25
2007,20,May,25.65,3.14
2007,21,May,25.00,3.08
2007,22,June,25.25,3.11
2007,23,June,25.23,3.12
2007,24,June,24.52,3.02
2007,25,June,22.79,2.83
2007,26,June,21.77,2.73
2007,27,July,22.26,2.80
2007,28,July,23.56,2.97
2007,29,July,24.51,3.10
